patternType,pattern,toolType,examples,reasoning,pmid
term,miniswine|minipig,animal_model,['miniswine'],General terms for miniature pig models used in biomedical research,PMID:29925695
naming_convention,CD\d+/[A-Z]+ \([A-Z0-9]+\),antibody,"['CD13/FITC (22A5)', 'CD90/PECy5 (5E10)', 'CD271/APC (C401457)']","Flow cytometry antibodies follow standard naming with CD marker, fluorochrome, and clone number in parentheses",PMID:29941005
naming_convention,anti-[A-Za-z0-9-]+ \([A-Z0-9]+\),antibody,['anti-Ki-67 (M7240)'],Immunohistochemistry antibodies often use 'anti-' prefix with catalog numbers,PMID:29941005
context_phrase,analyzed using .+ software v\.[0-9.]+,computational_tool,"['analyzed using ImageJ software v.1.49', 'analyzed with FACSDiva (BD Biosciences) or FlowJo 7.6.5']",Software usage phrases with version numbers indicate computational tools,PMID:29941005
context_phrase,Statistical analysis was performed using .+ \(.+ v\. [0-9.]+\),computational_tool,['Statistical analysis was performed using Statistical Package for Social Sciences software (SPSS v. 20.0)'],Statistical analysis software mentions with version numbers,PMID:29941005
naming_convention,"[A-Z]{2,3}[0-9]+",cell_line,"['NF37', 'NF87', 'CT10', 'CT11', 'CT12']",Primary cell culture identifiers with letter-number combinations,PMID:29941005
context_phrase,"3D.{0,20}pellet.{0,20}culture",advanced_cellular_model,"['3D pellet culture', 'pellet (3D) cultures']",3D pellet cultures are advanced cellular models for differentiation studies,PMID:29941005
vendor_indicator,"\([A-Z0-9]+[,;] [A-Za-z ]+[,;] [A-Z]{2,3}[,;] USA\)",general,"['(M7240; Dako Corporation, CA, USA)', '(22A5, Caltag Medsystems, UK)']",Vendor information with catalog numbers indicates research tools,PMID:29941005
term,Law's texture energy measures,computational_tool,"[""Law's texture energy measures""]",Specific texture analysis algorithm commonly used in medical imaging,PMID:29958847
term,grey-level co-occurrence matrices|GLCM,computational_tool,['grey-level co-occurrence matrices'],Standard image texture analysis technique that should be captured,PMID:29958847
term,neighborhood grey-tone difference matrices|NGTDM,computational_tool,['neighborhood grey-tone difference matrices'],Image texture analysis method used in radiomic studies,PMID:29958847
context_phrase,registration.*pipeline|segmentation.*pipeline,computational_tool,['registration and segmentation pipeline'],Image processing pipelines are computational tools even when not named specifically,PMID:29958847
context_phrase,quantitative.*features.*extracted|features.*extracted.*from,computational_tool,"['Quantitative imaging features were extracted from the MR, PET, and CT data']",Feature extraction implies computational tools even when software not explicitly named,PMID:29958847
naming_convention,[A-Z0-9]+-null.*cell line[s]?,cell_line,"['NF2-null human arachnoidal cell lines', 'NF2-null human meningioma cell lines']",Gene knockout cell lines often use 'gene-null' nomenclature that wasn't captured by existing patterns,PMID:29982664
context_phrase,orthotopic.*model,animal_model,['orthotopic meningioma model'],Orthotopic models are common in cancer research but may not be captured by current animal model patterns,PMID:29982664
term,dasatinib|imatinib|nilotinib|bosutinib,genetic_reagent,['dasatinib'],Tyrosine kinase inhibitors are commonly used research reagents but may not be captured as tools,PMID:29982664
context_phrase,mTORC?[12]/? inhibitor,genetic_reagent,['dual mTORC1/2 inhibitor'],mTOR pathway inhibitors are common research reagents that should be captured,PMID:29982664
context_phrase,high-throughput.*analys[ie]s,computational_tool,['High-throughput kinome analyses'],High-throughput analyses typically require specialized computational tools/platforms,PMID:29982664
context_phrase,immunoblotting|western blot,antibody,['Immunoblotting confirmed the activation of kinases'],Immunoblotting mentions should trigger search for specific antibodies used,PMID:29982664
naming_convention,S[0-9]{3}|T[0-9]{3},cell_line,"['S462', 'T265']",MPNST cell lines follow specific naming patterns that should be captured,PMID:30055648
context_phrase,cell lines? [A-Z][0-9]{3}( and [A-Z][0-9]{3})?,cell_line,['cell lines S462 and T265'],Context phrase 'cell lines' followed by alphanumeric identifiers reliably indicates cell line tools,PMID:30055648
naming_convention,(Foxn1|Balb/c|SHO|Shorn|NOD|SCID).*(nude|mice),animal_model,"['Foxn1 nude mice', 'Balb/c nude', 'SHO mice', 'Shorn mice']",Immunocompromised mouse strain nomenclature commonly used in xenograft studies,PMID:30055648
vendor_indicator,Ventana [A-Z0-9-.]+,antibody,"['Ventana S100-4C4.9', 'Ventana Ki-67-30.9', 'Ventana QBEnd/10']",Ventana is a major antibody vendor with specific clone naming conventions,PMID:30055648
context_phrase,anti-[A-Za-z0-9]+ \(monoclonal.*Ventana,antibody,"['anti-Ki67 (monoclonal, mouse, 0.4 μg/mL, Ventana Ki-67-30.9)']",Standard antibody description format with vendor information,PMID:30055648
term,ImageJ|Adobe Photoshop|SPSS,computational_tool,"['ImageJ', 'Adobe Photoshop CS5', 'SPSS']",Common research software tools that should be captured with version information when available,PMID:30055648
vendor_indicator,Matrigel™?.*\(Corning,genetic_reagent,"['Matrigel™ (Corning, GFR)']",Matrigel is a standard extracellular matrix reagent with trademark and vendor information,PMID:30055648
context_phrase,counted using.*tool of [A-Za-z]+,computational_tool,['counted using the cell counter tool of ImageJ'],Usage context phrases that indicate computational tool application,PMID:30055648
context_phrase,established image analysis methods,computational_tool,['established image analysis methods'],This phrase suggests computational tools were used but not explicitly named. Could trigger manual review for neuroimaging studies.,PMID:30179114
context_phrase,quantitatively assessed.*ROI,computational_tool,['10 intracranial volume–corrected subcortical and 34 cortical regions of interest (ROIs) were quantitatively assessed'],ROI-based quantitative analysis typically requires specialized neuroimaging software that should be captured.,PMID:30179114
term,intracranial volume.*corrected,computational_tool,['intracranial volume–corrected subcortical'],Volume correction in neuroimaging requires specific computational methods/software that should be identified.,PMID:30179114
term,SPM[0-9]+,computational_tool,['SPM8'],Statistical Parametric Mapping is a standard neuroimaging software suite with version numbers,PMID:30192842
term,Matlab [0-9]+\.[0-9]+\.[0-9]+,computational_tool,['Matlab 7.12.0'],Matlab with specific version numbers indicates computational tool usage,PMID:30192842
context_phrase,R library|R package|kernlab,computational_tool,['kernlab R library'],R packages and libraries are computational tools commonly used in analysis,PMID:30192842
context_phrase,R's [a-zA-Z]+ function,computational_tool,"[""R's prcomp function""]",Specific R functions indicate computational analysis tools,PMID:30192842
term,WAIS-III|WISC-III|WAIS-IV|WISC-IV,clinical_assessment_tool,"['WAIS-III', 'WISC-III']",Wechsler Intelligence Scales are standardized neuropsychological assessment tools,PMID:30192842
naming_convention,[A-Z][a-z]+-[A-Z][a-z]+ [A-Z][a-z]+ Test,clinical_assessment_tool,"['Rey-Osterrieth Complex Figure Test', 'Nine-Hole Peg Test']",Hyphenated neuropsychological test names follow standard naming conventions,PMID:30192842
context_phrase,Test.*was.*performed.*measure|Test.*implemented.*measure,clinical_assessment_tool,['The Nine-Hole Peg Test was performed as a measure of finger dexterity'],Context phrases indicating test administration for measurement purposes,PMID:30192842
term,Tower of London|Corsi block-tapping|Five Digits Test,clinical_assessment_tool,"['Tower of London Test', 'Corsi block-tapping task', 'Five Digits Test']",Specific neuropsychological assessment tool names,PMID:30192842
term,confocal laser scanning microscopy|CLSM,computational_tool,"['confocal laser scanning microscopy (CLSM)', 'using confocal laser scanning microscopy (CLSM)']","CLSM is a specialized imaging technique that could be considered an analytical tool, though it's borderline whether this qualifies as a research tool vs. standard clinical technique",PMID:30271432
context_phrase,specimens were photographed under,computational_tool,['Specimens were photographed under optical microscope and confocal laser scanning microscopy'],"This phrase indicates use of imaging equipment for specimen analysis, which could help identify microscopy tools",PMID:30271432
vendor_indicator,"\(catalog no\.,\s*[A-Z0-9#-]+\)",general,"['(catalog no., 1700)', '(# HPA003097, Sigma-Aldrich)', '(# P6874, Sigma-Aldrich)']",Catalog number patterns with vendor information are strong indicators of research tools,PMID:30274821
vendor_indicator,"\(#\s*[A-Z0-9-]+,\s*[A-Za-z\s]+\)",general,"['(# HPA003097, Sigma-Aldrich)', '(# 2524, Cell Signaling)', '(# AA128, Beyotime)']",Catalog numbers with vendor names in parentheses indicate commercial research reagents,PMID:30274821
naming_convention,[A-Z0-9]+-[A-Z0-9]+,cell_line,"['RT4-D6P2T', 'HEI-193']",Alphanumeric cell line naming conventions with hyphens,PMID:30274821
context_phrase,were purchased from|obtained from|was a kind gift from,general,"['were purchased from ScienCell Research Laboratories', 'was obtained from the Global Bioresource Center', 'was a kind gift from Dr.']",Source attribution phrases indicate tool acquisition and usage,PMID:30274821
term,shRNA vectors|expression plasmid|antibodies specific for,genetic_reagent,"['Lentiviral shRNA vectors were constructed', 'The plasmids HA-tagged NF2', 'antibodies specific for merlin']",Specific molecular biology tool terminology,PMID:30274821
context_phrase,analysis was performed using|software|kit from,computational_tool,"['Statistical analysis was performed using the SPSS 17.0', 'Images were generated using Imaris software', 'Cell Counting Kit-8 (CCK-8) from Dojindo']",Analysis and software usage context phrases,PMID:30274821
context_phrase,using\s+([A-Z][a-zA-Z0-9]+)\s*\[,computational_tool,"['using SnpEff [ 6 ]', 'using the H2O R package [ 31 ]']",Pattern to catch software tools mentioned with 'using' followed by citation,PMID:30274822
context_phrase,performed using\s+([A-Z][a-zA-Z0-9]+),computational_tool,"['performed using Interpro', 'performed using SnpEff']",Pattern for tools used in analysis procedures,PMID:30274822
context_phrase,([A-Z][a-zA-Z0-9]+)\s+database,computational_tool,"['LOVD database', 'gnomAD database']",Pattern to catch database names followed by 'database',PMID:30274822
context_phrase,prediction algorithms?\s*\([^)]*([A-Z][A-Z0-9]+),computational_tool,"['prediction algorithms (SIFT', 'algorithms (SIFT [ 38 ], Polyphen2']",Pattern for prediction algorithms listed in parentheses,PMID:30274822
naming_convention,([A-Z][a-zA-Z]*[0-9]+),computational_tool,"['Polyphen2', 'VEST3']",Software tools often have version numbers in their names,PMID:30274822
context_phrase,([A-Z][a-zA-Z0-9]+)\s+R\s+package,computational_tool,['H2O R package'],Pattern for R packages used in analysis,PMID:30274822
term,AP-DIA|SWATH,computational_tool,['AP-DIA/SWATH mass spectrometry'],AP-DIA and SWATH are specific mass spectrometry data acquisition methods that should be recognized as computational tools,PMID:30381327
context_phrase,\w+ siRNAs?,genetic_reagent,['EF1A2 siRNAs'],siRNAs targeting specific genes are genetic reagents and should be captured with this pattern,PMID:30381327
context_phrase,docking simulation,computational_tool,['docking simulation'],Molecular docking simulation is a computational method that should be recognized as a tool,PMID:30381327
context_phrase,\w+-deficient \w+ cells,cell_line,['NF1-deficient malignant tumor cells'],Gene-deficient cell lines are research tools even when specific cell line names aren't provided,PMID:30381327
context_phrase,"inhibitor,? \w+",genetic_reagent,"['TCTP inhibitor, artesunate']",Chemical inhibitors mentioned by name are research reagents that should be captured,PMID:30381327
naming_convention,"MD-[A-Z]{2,4}",cell_line,"['MD-MSC', 'MD-HSC']",Merlin-deficient cell line abbreviations follow this pattern and are commonly used in NF research,PMID:30615146
context_phrase,transgenic mouse model,animal_model,['NF2 transgenic mouse models'],Transgenic mouse models are frequently mentioned but not captured by current patterns,PMID:30615146
context_phrase,orthotopic allograft,animal_model,['orthotopic allograft and NF2 transgenic mouse models'],Orthotopic allograft models are specialized animal model systems not captured,PMID:30615146
context_phrase,primary [a-zA-Z]+ cells,cell_line,['primary human VS cells'],Primary cell cultures are important research tools but not consistently captured,PMID:30615146
term,trametinib|PD0325901|cobimetinib|selumetinib|binimetinib,genetic_reagent,"['trametinib', 'PD0325901', 'cobimetinib']",MEK inhibitor compounds are research reagents but not recognized by current patterns,PMID:30615146
context_phrase,(decreased|increased|reduced|elevated)\s+[a-zA-Z0-9/]+\s+(levels?|expression),antibody,"['decreased pERK1/2', 'increased p27', 'Ki-67 levels']",Protein level measurements strongly indicate antibody usage for detection,PMID:30615146
context_phrase,proteomic analysis,computational_tool,['Proteomic analysis confirmed cell cycle arrest'],Proteomic analysis requires specialized computational tools for data processing,PMID:30615146
context_phrase,DNA methylation analysis,computational_tool,['DNA methylation analysis of PD0325901-resistant versus -susceptible VS'],DNA methylation analysis requires computational tools for data analysis,PMID:30615146
context_phrase,inject .* cells into,cell_line,['inject schwannoma cells into the mouse brain'],Injection procedures often indicate use of specific cell lines that should be captured,PMID:30617350
naming_convention,.* mouse model,animal_model,['cerebellopontine angle mouse model'],Mouse model terminology is a strong indicator of animal model tools,PMID:30617350
context_phrase,assessment techniques,clinical_assessment_tool,['hearing assessment techniques'],Assessment techniques in research contexts often refer to validated measurement tools,PMID:30617350
term,intravital imaging,computational_tool,['state-of-the-art intravital imaging'],Specific imaging modalities represent computational/technical tools for analysis,PMID:30617350
term,\b[A-Z][a-zA-Z0-9-]+\s+(medium|kit|assay)\b.*\([A-Z][a-zA-Z\s]+\),genetic_reagent,"['mTESR1 medium (STEMCELL Technologies)', 'Cytotune-iPS 2.0 Sendai Reprogramming Kit (Thermo Fisher Scientific)', 'Click-iT EdU Flow Cytometry Assay']","Pattern to catch commercial reagents, media, and kits with vendor information in parentheses",PMID:30713041
term,\b[A-Z0-9]+iPS\b|\b[A-Z0-9]+iPSC\b,cell_line,"['3PNFiPS', '5PNFiPS', 'FiPS']",Pattern to catch iPSC line nomenclature commonly used in reprogramming studies,PMID:30713041
context_phrase,cell line.*ES[0-9]+|hESC.*line.*ES[0-9]+,cell_line,['human embryonic stem cell (hESC) line ES4'],Pattern to catch embryonic stem cell lines with standard nomenclature,PMID:30713041
term,"\b[A-Z]{2,}[0-9]{3,}\b.*\([A-Z][a-zA-Z\s]+\)",genetic_reagent,"['CHIR9902 (STEMCELL Technologies)', 'SB432542 (STEMCELL Technologies)']",Pattern to catch small molecule compounds with catalog-like names and vendor information,PMID:30713041
context_phrase,sphere.*form|3D.*sphere|spheroid,advanced_cellular_model,"['tendency to form sphere-like structures', '3D spheres']",Pattern to catch 3D culture systems and spheroid models,PMID:30713041
context_phrase,retroviral.*delivery|retroviral.*vector|sendai.*vector,genetic_reagent,"['retroviral delivery of human cDNA', 'Sendai Reprogramming Kit']",Pattern to catch viral vectors used for gene delivery and reprogramming,PMID:30713041
naming_convention,\bMatrigel\b,genetic_reagent,['growth factor-reduced Matrigel (BD Biosciences)'],Matrigel is a standard extracellular matrix product commonly used in cell culture,PMID:30713041
term,Next Generation Sequencing|NGS,computational_tool,"['next generation sequencing (NGS)', 'NGS identified']","NGS is a fundamental computational tool in genomics research that should be consistently captured, including both full name and abbreviation",PMID:30984524
term,quantitative real-time polymerase chain reaction|qPCR|quantitative PCR|real-time PCR,genetic_reagent,"['Quantitative real-time polymerase chain reaction (qPCR)', 'qPCR confirmed']",qPCR and its variants are standard molecular biology techniques that should be recognized as genetic reagents/molecular tools,PMID:30984524
context_phrase,identified by|confirmed by|using|performed|analyzed with,general,"['qPCR confirmed that', 'identified by next generation sequencing']","These context phrases often indicate active tool usage rather than just citations, helping distinguish genuine tool usage from references",PMID:30984524
naming_convention,"\b[A-Z]{2,5}\b(?:\s*\([^)]+\))?",general,"['NGS', 'qPCR', 'PCR']",Many molecular biology and computational tools use abbreviated forms that may be missed by current patterns focused on full names,PMID:30984524
term,immortalized [A-Za-z]+ cells?,cell_line,['immortalized Schwann cells'],Immortalized cell lines are commonly used research tools but may not be caught by standard cell line naming patterns,PMID:31015291
context_phrase,wild-type (\w+),genetic_reagent,['wild-type Merlin'],Wild-type protein constructs are research reagents when used in experimental contexts,PMID:31015291
context_phrase,mutant forms? of (\w+),genetic_reagent,['mutant forms of Merlin'],Mutant protein forms/constructs are genetic reagents used in functional studies,PMID:31015291
context_phrase,(\w+)-binding mutant,genetic_reagent,['PIP2-binding mutant'],Specific functional mutants designed for binding studies are research reagents,PMID:31015291
context_phrase,(\w+)-conformation (\w+) mutant,genetic_reagent,['closed-conformation Merlin mutant'],Conformational mutants are engineered research reagents for structural-function studies,PMID:31015291
term,mass spectrometry,computational_tool,['mass spectrometry'],Mass spectrometry typically involves computational analysis tools for data processing and protein identification,PMID:31015291
context_phrase,designed a computed.*system,computational_tool,['designed a computed image analyzing system'],"This pattern would catch computational systems/tools that are being developed or designed by researchers, which are often missed by standard software name patterns.",PMID:3102622
context_phrase,image analyz.*system,computational_tool,['computed image analyzing system'],Image analysis systems are common computational tools in biomedical research but may not be caught by standard software name patterns.,PMID:3102622
naming_convention,.*preparation.*technique,genetic_reagent,['split-dopa preparation'],"Biochemical preparation techniques often involve specific reagents and protocols that could be considered research tools, though this needs careful validation to avoid false positives.",PMID:3102622
term,SPM\s+\d+,computational_tool,['SPM 8'],"SPM (Statistical Parametric Mapping) is a widely used neuroimaging software, often mentioned with version numbers",PMID:31033921
term,Analyze\s+version\s+\d+,computational_tool,['Analyze version 11'],Analyze is a medical imaging software package commonly referenced with version numbers,PMID:31033921
term,SPSS\s+version\s+\d+,computational_tool,['SPSS version 23'],SPSS is a statistical software package frequently mentioned with version numbers in research papers,PMID:31033921
context_phrase,using\s+[A-Z][a-zA-Z]+\s+[a-zA-Z]*\s*software,computational_tool,"['using Brainlab iPlan software', 'using HRRT user community software']",Pattern captures software usage with vendor or descriptive names,PMID:31033921
vendor_indicator,\([A-Z][a-zA-Z]+\s+AG\s+[A-Z][a-zA-Z]+\),computational_tool,['(Brainlab AG Germany)'],Vendor information in parentheses often indicates commercial software tools,PMID:31033921
naming_convention,[a-z]+_tools,computational_tool,['e7_tools'],"Software packages often use underscore naming conventions, especially for specialized tools",PMID:31033921
term,questionnaire,clinical_assessment_tool,"['BoN questionnaire', 'DLQI questionnaire', 'conceptual questionnaire']",Many clinical assessment tools are questionnaires. This term should trigger evaluation for clinical assessment tools when found in methods or validation contexts.,PMID:31053133
term,scale,clinical_assessment_tool,"['Perceived Stress Scale', 'visual analog scale', 'Likert scale']",Clinical scales are assessment instruments. 'Scale' in clinical contexts often indicates measurement tools.,PMID:31053133
term,index,clinical_assessment_tool,"['Dermatology Life Quality Index', 'comparative fit index']","Clinical indices are often standardized assessment tools, especially when mentioned with scoring ranges.",PMID:31053133
context_phrase,validated.*questionnaire|questionnaire.*validated,clinical_assessment_tool,['three previously validated self-administered questionnaires'],Validation context strongly indicates legitimate clinical assessment tools rather than ad-hoc surveys.,PMID:31053133
context_phrase,software Version [0-9]+\.[0-9]+,computational_tool,['SAS software Version 9.4'],Software with version numbers indicates specific computational tools used for analysis.,PMID:31053133
naming_convention,PROC [A-Z]+,computational_tool,['PROC CALIS procedure'],SAS procedures are specific computational tools/methods. PROC prefix is distinctive SAS syntax.,PMID:31053133
context_phrase,instrument.*measure|measure.*instrument,clinical_assessment_tool,"['instrument designed to assess', 'psychological instrument for measuring']",Clinical measurement instruments are assessment tools when used to evaluate patient outcomes.,PMID:31053133
naming_convention,p[A-Z][a-z0-9]+-[0-9]+,genetic_reagent,"['pBam34', 'pE40-1']","DNA probe naming convention with 'p' prefix (plasmid) followed by alphanumeric identifier and version number, commonly used for RFLP probes in 1980s genetic studies",PMID:3118033
context_phrase,"restriction fragment length polymorphisms?\s*\(RFLPs?\)\s*including\s+([A-Za-z0-9, ]+)",genetic_reagent,"['RFLPs including C3, ApoC2, pBam34']",Context phrase that introduces lists of RFLP markers/probes used in genetic linkage studies,PMID:3118033
context_phrase,"recombinant DNA studies\s+of\s+.*?\s+including\s+([A-Za-z0-9, ]+)",genetic_reagent,"['Recombinant DNA studies of several restriction fragment length polymorphisms (RFLPs) including C3, ApoC2, pBam34']",Context phrase indicating molecular genetic reagents used in DNA-based studies,PMID:3118033
context_phrase,linkage analysis.*using.*DNA markers?,genetic_reagent,['using two DNA markers located on chromosome 8'],"Could help identify genetic linkage studies that use DNA markers as tools, though would need careful validation to avoid false positives from genomic references",PMID:3118034
context_phrase,lod score.*calculated|computed|analyzed,computational_tool,['lod less than or equal to -2.0'],"Lod score calculations indicate statistical genetics software usage, though specific software names rarely mentioned in older papers",PMID:3118034
term,M-Link|MLINK,computational_tool,['computer programme M-Link'],M-Link is a well-known genetic linkage analysis software that should be captured. Pattern should include variations in naming/spacing.,PMID:3118035
context_phrase,computer programme\s+\w+,computational_tool,['computer programme M-Link'],Older publications may use 'computer programme' instead of 'software' - this pattern could catch similar historical computational tools.,PMID:3118035
context_phrase,linkage analysis.*using\s+\w+,computational_tool,['linkage analysis...was carried out using the computer programme M-Link'],Genetic linkage analysis typically requires specialized software - this pattern could identify computational tools in linkage studies.,PMID:3118035
vendor_indicator,Cat#:|Catalog#:|RRID:,general,"['Cat#: AB152 RRID: AB_390204', 'Plasmid#: 111068 RRID: Addgene_111068']",Catalog numbers and RRIDs are strong indicators of research tools and should trigger capture,PMID:31545171
context_phrase,Addgene Plasmid#:|Addgene viral prep#:,genetic_reagent,"['Addgene Plasmid#: 111068', 'Addgene viral prep#: 107788-AAV9']",Addgene references with numbers clearly indicate genetic reagents,PMID:31545171
naming_convention,pAAV-|AAV[0-9]+-,genetic_reagent,"['pAAV-hSyn-dLight1.2', 'AAV9-Th-PI-Cre-SV40']",AAV vector naming conventions should be captured as genetic reagents,PMID:31545171
context_phrase,"Software, Algorithm",computational_tool,"['Software, Algorithm Matlab', 'Software, Algorithm GraphPad Prism 7']",This specific phrase in methods tables indicates computational tools,PMID:31545171
naming_convention,Anti-[A-Za-z0-9 ]+\s*\([^)]+\),antibody,"['Anti-tyrosine hydroxylase (Rabbit polyclonal)', 'Anti-GFP (mouse polyclonal)']",Standard antibody naming convention with target and species/type in parentheses,PMID:31545171
context_phrase,IHC \(1:[0-9]+\),antibody,['IHC (1:1000)'],Immunohistochemistry dilutions indicate antibody usage,PMID:31545171
naming_convention,[A-Z0-9]+T[0-9]* cells,cell_line,['HEK293T cells'],Standard cell line naming conventions should be captured,PMID:31545171
context_phrase,Nf1\+/\+|Nf1\+/-,animal_model,['Nf1+/+ and Nf1+/- male and female mice'],Genetic notation for mouse models should be captured,PMID:31545171
term,Social Responsiveness Scale,clinical_assessment_tool,['Social Responsiveness Scale 2nd Edition'],Standard autism screening questionnaire commonly used in clinical research,PMID:31558455
term,SRS-2,clinical_assessment_tool,"['SRS-2 results', 'parent-rated SRS-2']",Common abbreviation for Social Responsiveness Scale 2nd Edition,PMID:31558455
term,Autism Diagnostic Observation Scale,clinical_assessment_tool,['Autism Diagnostic Observation Scale 2nd Edition'],Gold standard diagnostic instrument for autism assessment,PMID:31558455
term,ADOS-2,clinical_assessment_tool,"['ADOS-2 diagnostic algorithm', 'complete the ADOS-2']",Standard abbreviation for Autism Diagnostic Observation Scale 2nd Edition,PMID:31558455
term,Autism Diagnostic Interview-Revised,clinical_assessment_tool,['Autism Diagnostic Interview-Revised to determine'],Gold standard diagnostic interview for autism assessment,PMID:31558455
term,ADI-R,clinical_assessment_tool,"['ADI-R is administered', 'results of the ADI-R']",Standard abbreviation for Autism Diagnostic Interview-Revised,PMID:31558455
term,WISC-V,clinical_assessment_tool,['WISC-V 10 subtests'],"Standard abbreviation for Wechsler Intelligence Scale for Children, 5th edition",PMID:31558455
term,WPPSI-IV,clinical_assessment_tool,['WPPSI-IV 10 subtests'],"Standard abbreviation for Wechsler Preschool and Primary Scale of Intelligence, 4th edition",PMID:31558455
term,NEPSY-II,clinical_assessment_tool,"['NEPSY-II Inhibition', 'NEPSY-II ToM']",Standard abbreviation for neuropsychological assessment battery,PMID:31558455
term,BRIEF,clinical_assessment_tool,"['BRIEF 86 items', 'BRIEF-Preschool']",Standard abbreviation for Behavior Rating Inventory of Executive Functions,PMID:31558455
term,CBCL,clinical_assessment_tool,"['CBCL: 6–18 years', 'CBCL: 1.5–5 years']",Standard abbreviation for Child Behavior Checklist,PMID:31558455
term,ABAS-3,clinical_assessment_tool,"['ABAS-3: 0–5 years', 'ABAS-3: 5–21 years']","Standard abbreviation for Adaptive Behavior Assessment System, 3rd edition",PMID:31558455
context_phrase,items assessing,clinical_assessment_tool,"['86 items assessing executive functions', '79 items assessing social skills']",Common phrase indicating standardized assessment instruments with specific item counts,PMID:31558455
context_phrase,standardised questionnaires,clinical_assessment_tool,"[""parents will rate their child's behaviour on standardised questionnaires""]",General phrase indicating use of validated clinical assessment tools,PMID:31558455
context_phrase,diagnostic assessment,clinical_assessment_tool,"['complete the diagnostic ASD assessment', 'ASD assessment measures']",Phrase indicating formal diagnostic instruments,PMID:31558455
naming_convention,"[A-Z]{2,6}-[0-9]+",clinical_assessment_tool,"['SRS-2', 'ADOS-2', 'WISC-V', 'CBCL-6']",Common pattern for clinical assessment tool abbreviations with version numbers,PMID:31558455
term,HEK293T|Sf9|Tni-FNL|BL21\(DE3\)|DH10Bac,cell_line,"['HEK293T', 'Sf9 cells', 'Tni-FNL cells', 'BL21(DE3)', 'DH10Bac cells']",Standard cell line nomenclature commonly used in molecular biology research,PMID:31836666
term,p[A-Z][a-zA-Z0-9-]+,genetic_reagent,"['pDest-635', 'pDest-636', 'pDonr255', 'pCAN-FLAG-DEST']",Plasmid naming convention starting with 'p' followed by descriptive name,PMID:31836666
context_phrase,Addgene construct \d+,genetic_reagent,['Addgene construct 70423'],Addgene repository plasmids with catalog numbers,PMID:31836666
context_phrase,"antibodies.*\([^)]+,\s*\d+\)",antibody,"['FLAG (rabbit, 14793)', 'V5 (rabbit, 13202)', 'HA (rabbit, 3724)']",Antibody descriptions with species and catalog numbers in parentheses,PMID:31836666
term,SEDFIT|SEDPHAT|SEDNTERP|ATSAS|PRIMUS|GNOM|DAMMIF|EM2DAM|MULCh|Chimera|Relion|Sphire|EMAN2|MantidPlot|SerialEM|EPU,computational_tool,"['SEDFIT 16.1', 'ATSAS', 'Chimera', 'Relion', 'EMAN2']",Specialized biophysical and structural biology analysis software commonly used in protein characterization,PMID:31836666
context_phrase,software.*version\s+[0-9.]+,computational_tool,"['Astra software (Wyatt Technology, version 7.1.3)', 'Bio-Rad CFX Manager software (version 3.1)']",Software mentions with explicit version numbers indicate tool usage,PMID:31836666
naming_convention,[A-Z]+[0-9]+[A-Z]*\s+cells,cell_line,"['HEK293T cells', 'Sf9 cells']",Standard cell line naming with alphanumeric codes followed by 'cells',PMID:31836666
context_phrase,analyzed using|processed with|collected with|generated using,general,"['analyzed using EMAN2', 'collected with EPU software']",Context phrases that reliably indicate active tool usage in experimental procedures,PMID:31836666
term,data portal,computational_tool,['NF Data Portal'],Data portals are computational tools (web applications/databases) that enable data sharing and analysis. This pattern would catch disease-specific or research-focused data portals that serve as research infrastructure.,PMID:31836719
context_phrase,developed.*portal,computational_tool,['developed a disease-focused data portal'],Context phrases indicating portal development would help identify computational tools that are web-based platforms for data sharing or analysis.,PMID:31836719
naming_convention,"[A-Z]{2,}\s+Data\s+Portal",computational_tool,['NF Data Portal'],Disease or research area acronyms followed by 'Data Portal' represent computational tools for data sharing and analysis in specific research domains.,PMID:31836719
vendor_indicator,\b([A-Z][a-zA-Z0-9\s]+)\s*\(([A-Z][a-zA-Z]+)\),genetic_reagent,"['PureGene Blood Core Kit B (Qiagen)', 'SureSelect (Agilent)', 'MiSeq-M01450 (Illumina)']",Pattern to catch commercial reagents/instruments with vendor names in parentheses,PMID:32107864
term,\b(bwa-mem|BWA-MEM)\s+v?[0-9]+\.[0-9]+\.[0-9]+,computational_tool,['bwa-mem v0.7.10'],Specific pattern for BWA alignment software with version numbers,PMID:32107864
term,"\bGATK,?\s+version\s+[0-9]+\.[0-9]+\.[0-9]+",computational_tool,"['GATK, version 1.0.4705']",Pattern for GATK variant calling software with version specification,PMID:32107864
context_phrase,using\s+([A-Z][a-zA-Z0-9\-]+)\s+v?[0-9]+\.[0-9]+,computational_tool,"['using bwa-mem v0.7.10', 'using GATK, version 1.0.4705']",Context phrase indicating software usage with version numbers,PMID:32107864
term,\b(ddPCR|digital droplet PCR)\b,genetic_reagent,"['ddPCR', 'digital droplet PCR']",Digital droplet PCR technology used for molecular validation,PMID:32107864
naming_convention,\b[A-Z][a-zA-Z]+\-[A-Z][0-9]+\b,genetic_reagent,['MiSeq-M01450'],"Instrument model naming convention with letters, dash, and alphanumeric code",PMID:32107864
naming_convention,[A-Z0-9]+[+/-]+[a-z0-9/]+(del|mut|tm[0-9]+),animal_model,"['NF1+/ex42del', 'Nf1+/-', 'B6.129-Nf1tm1Tyj']",Genetic nomenclature pattern for genetically modified animal models with specific allele designations,PMID:32193437
