toolName,toolType,_pmid,_doi,_publicationTitle,_year,_confidence,_usageType,nf_specific,completeness_score,priority,strainNomenclature,animalModelGeneticDisorder,animalModelOfManifestation,targetAntigen,hostOrganism,clonality,organ,cellLineGeneticDisorder,cellLineManifestation,cellLineCategory,insertName,vectorType,vectorBackbone,promoter,softwareName,softwareType,softwareVersion,sourceRepository,modelType,derivationSource,cellTypes,organoidType,modelSystemType,patientDiagnosis,hostStrain,tumorType,assessmentName,assessmentType,targetPopulation,diseaseSpecific,numberOfItems,_context,filter_reason
Wechsler Intelligence Scale for Children–Revised,clinical_assessment_tools,PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Wechsler Intelligence Scale for Children–Revised,scale,pediatric,No,,"assessed at baseline using the Wechsler Intelligence Scale for Children–Revised, Dutch version","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Wechsler Intelligence Scale for Children–Revised"
Beery developmental test of visual-motor integration,clinical_assessment_tools,PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Beery developmental test of visual-motor integration,performance test,pediatric,No,,the Beery developmental test of visual-motor integration,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Beery developmental test of visual-motor integration"
judgment of line orientation task,clinical_assessment_tools,PMID:18632543,10.1001/jama.300.3.287,Effect of simvastatin on cognitive functioning in children with neurofibromatosis type 1: a randomized controlled trial.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,judgment of line orientation task,performance test,pediatric,No,,and the judgment of line orientation task,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: judgment of line orientation task"
Numerical Rating Scale (NRS-11),clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Numerical Rating Scale (NRS-11),scale,pediatric,No,11.0,Children rated tumor pain intensity on a scale from 0 (no pain) to 10 (worst pain imaginable)...pain intensity (11-point Numerical Rating Scale [NRS-11]),"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Numerical Rating Scale (NRS-11)"
Pain Interference Index,clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Pain Interference Index,scale,pediatric,No,,"interference of pain in daily functioning (Pain Interference Index)...Scores on the Pain Interference Index range from 0 to 6, with higher scores indicating greater pain interference","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Pain Interference Index"
Pediatric Quality of Life Inventory (PedsQL) Generic Core Scales,clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Pediatric Quality of Life Inventory (PedsQL) Generic Core Scales,questionnaire,pediatric,No,,"health-related quality of life (Pediatric Quality of Life Inventory [PedsQL] Generic Core Scales)...PedsQL scores range from 0 to 100, with higher scores indicating better health-related quality of life","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Pediatric Quality of Life Inventory (PedsQL) Generic Core Scales"
Global Impression of Change scale,clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Global Impression of Change scale,scale,pediatric,No,7.0,perceived changes with treatment (Global Impression of Change scale)...Scores on the Global Impression of Change scale range from 1 (very much improved) to 7 (very much worse),"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Global Impression of Change scale"
Patient-Reported Outcomes Measurement Information System (PROMIS) Mobility short form,clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Patient-Reported Outcomes Measurement Information System (PROMIS) Mobility short form,questionnaire,pediatric,No,,children and parents also completed the Patient-Reported Outcomes Measurement Information System (PROMIS) Mobility and Upper Extremity short forms to assess physical functioning,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Patient-Reported Outcomes Measurement Information System (PROMIS) Mobility short form"
Patient-Reported Outcomes Measurement Information System (PROMIS) Upper Extremity short form,clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Patient-Reported Outcomes Measurement Information System (PROMIS) Upper Extremity short form,questionnaire,pediatric,No,,children and parents also completed the Patient-Reported Outcomes Measurement Information System (PROMIS) Mobility and Upper Extremity short forms to assess physical functioning,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Patient-Reported Outcomes Measurement Information System (PROMIS) Upper Extremity short form"
"NCI Common Terminology Criteria for Adverse Events, version 4.0",clinical_assessment_tools,PMID:32187457,10.1056/NEJMoa1912735,Selumetinib in Children with Inoperable Plexiform Neurofibromas.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,"NCI Common Terminology Criteria for Adverse Events, version 4.0",scale,all ages,No,,"Adverse events were graded with the use of the NCI Common Terminology Criteria for Adverse Events, version 4.0","Assessment name not in title and 'tool' not in title — likely generic usage, not development: NCI Common Terminology Criteria for Adverse Events, version 4.0"
volumetric magnetic resonance imaging analysis,clinical_assessment_tools,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,volumetric magnetic resonance imaging analysis,biomarker assay,pediatric,Yes,,Response to treatment was monitored by using volumetric magnetic resonance imaging analysis to measure the change in size of the plexiform neurofibroma,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: volumetric magnetic resonance imaging analysis"
Responsibility for Medication Questionnaire,clinical_assessment_tools,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.8,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Responsibility for Medication Questionnaire,questionnaire,pediatric,No,,Adherence to the dosing schedule was assessed by administration of the Responsibility for Medication Questionnaire,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Responsibility for Medication Questionnaire"
"National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0",clinical_assessment_tools,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,"National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0",scale,all ages,No,,"Adverse events were graded according to National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0","Assessment name not in title and 'tool' not in title — likely generic usage, not development: National Cancer Institute Common Terminology Criteria for Adverse Events, version 4.0"
Response Evaluation Criteria In Solid Tumors (RECIST),clinical_assessment_tools,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.85,Citation Only,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Response Evaluation Criteria In Solid Tumors (RECIST),scale,all ages,No,,The use of standard response criteria (Response Evaluation Criteria In Solid Tumors [RECIST] and World Health Organization [WHO] criteria),"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Response Evaluation Criteria In Solid Tumors (RECIST)"
World Health Organization (WHO) criteria,clinical_assessment_tools,PMID:28029918,10.1056/NEJMoa1605943,Activity of Selumetinib in Neurofibromatosis Type 1-Related Plexiform Neurofibromas.,,0.85,Citation Only,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,World Health Organization (WHO) criteria,scale,all ages,No,,The use of standard response criteria (Response Evaluation Criteria In Solid Tumors [RECIST] and World Health Organization [WHO] criteria),"Assessment name not in title and 'tool' not in title — likely generic usage, not development: World Health Organization (WHO) criteria"
CNC-word test,clinical_assessment_tools,PMID:35723774,10.1007/s10072-022-06203-8,A randomized controlled trial of remote microphone listening devices to treat auditory deficits in children with neurofibromatosis type 1.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,CNC-word test,performance test,pediatric,No,,Speech perception ability in background noise was evaluated in device-active and inactive conditions using the CNC-word test.,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: CNC-word test"
LIFE-R Questionnaire,clinical_assessment_tools,PMID:35723774,10.1007/s10072-022-06203-8,A randomized controlled trial of remote microphone listening devices to treat auditory deficits in children with neurofibromatosis type 1.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,LIFE-R Questionnaire,questionnaire,pediatric,No,,Listening and communication ratings (LIFE-R Questionnaire) were obtained at baseline and at the end of each treatment phase.,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: LIFE-R Questionnaire"
Rex Gauge durometer,clinical_assessment_tools,PMID:40529476,10.1016/j.xjidi.2025.100380,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Rex Gauge durometer,performance test,all ages,Yes,,One was the Rex Gauge durometer (REX) produced by Rex Gauge LLC...used to measure cNF stiffness,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Rex Gauge durometer"
Delfin SkinFibroMeter,clinical_assessment_tools,PMID:40529476,10.1016/j.xjidi.2025.100380,Using Durometers to Quantify Stiffness as an Outcome Measure for Cutaneous Neurofibroma in Neurofibromatosis Type 1.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Delfin SkinFibroMeter,performance test,all ages,Yes,,"the other was the SkinFibroMeter (DEFLIN) made by Delfin Technologies...measure tissue induration, assessing tissue stiffness in quantitative units","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Delfin SkinFibroMeter"
Vectra H1,clinical_assessment_tools,PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Vectra H1,performance test,adult,Yes,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: Vectra H1 (Canfield Scientific Inc, Fairfield, NJ, USA)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Vectra H1"
LifeViz Micro,clinical_assessment_tools,PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,LifeViz Micro,performance test,adult,Yes,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: LifeViz Micro (QuantifiCare, Biot, France)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: LifeViz Micro"
Cherry Imaging,clinical_assessment_tools,PMID:39225289,10.1111/srt.70020,Comparing 3D imaging devices for the measurement of cutaneous neurofibromas in patients with Neurofibromatosis Type 1.,,0.9,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Cherry Imaging,performance test,adult,Yes,,"Images of up to eight cNFs from each participant were captured and analysed using each 3D imaging system: Cherry Imaging (Yokneam, Israel)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Cherry Imaging"
compound motor action potential (CMAP),clinical_assessment_tools,PMID:25012216,10.1186/s40478-014-0082-1,A neuronal function of the tumor suppressor protein merlin.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,compound motor action potential (CMAP),biomarker assay,all ages,No,,"When significantly reduced, the compound motor action potential (CMAP) – correlating with the number of functional axons – is an indicator for axonal damage.",Publication title lacks NF-specific terms: A neuronal function of the tumor suppressor protein merlin.
nerve conduction velocity,clinical_assessment_tools,PMID:25012216,10.1186/s40478-014-0082-1,A neuronal function of the tumor suppressor protein merlin.,,0.8,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,nerve conduction velocity,performance test,all ages,No,,"By measuring nerve properties as conduction velocity or potential amplitudes of the signal, it is possible to characterize the origin of peripheral nerve diseases.",Publication title lacks NF-specific terms: A neuronal function of the tumor suppressor protein merlin.
electrophysiological measurements,clinical_assessment_tools,PMID:25012216,10.1186/s40478-014-0082-1,A neuronal function of the tumor suppressor protein merlin.,,0.75,Experimental Usage,False,1.00,Low,,,,,,,,,,,,,,,,,,,,,,,,,,,electrophysiological measurements,performance test,all ages,No,,Electrophysiological measurements are an indispensable tool for investigating the functional integrity of peripheral nerves in both the clinical and laboratory environment.,Publication title lacks NF-specific terms: A neuronal function of the tumor suppressor protein merlin.
Morris water maze,clinical_assessment_tools,PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Morris water maze,performance test,all ages,No,,The water maze task was performed as previously described. Before performing the water maze task,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Morris water maze"
Rotarod,clinical_assessment_tools,PMID:25917366,10.1038/mp.2015.48,HCN channels are a novel therapeutic target for cognitive dysfunction in Neurofibromatosis type 1.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Rotarod,performance test,all ages,No,,"Motor learning was assessed with the accelerating rotarod (Ugo Basile, Comerio Varese, Italy)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Rotarod"
EGI 128-electrode Hydrocel Sensor Net,clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,EGI 128-electrode Hydrocel Sensor Net,biomarker assay,pediatric,No,,"We recorded EEG data with an EGI (Philips Neuro, Oregon, USA) 128-electrode Hydrocel Sensor Net, with the vertex electrode...","Assessment name not in title and 'tool' not in title — likely generic usage, not development: EGI 128-electrode Hydrocel Sensor Net"
Mullen Scales of Early Learning (MSEL),clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Mullen Scales of Early Learning (MSEL),scale,pediatric,No,,The Mullen Scales of Early Learning (MSEL) is a standardised measure that assesses developmental ability across five domains...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Mullen Scales of Early Learning (MSEL)"
Autism Observation Score for Infants (AOSI),clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.95,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Autism Observation Score for Infants (AOSI),structured interview,pediatric,Yes,,The Autism Observation Score for Infants (AOSI) is a standardised research assessment that examines ASD traits in infants...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Autism Observation Score for Infants (AOSI)"
Infant Behaviour Questionnaire-Revised (IBQ-R),clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Infant Behaviour Questionnaire-Revised (IBQ-R),questionnaire,caregiver,No,191.0,The IBQ-R is a parent-report questionnaire consisting of 191 items and 14 scales that relate to different aspects of infant temperament...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Infant Behaviour Questionnaire-Revised (IBQ-R)"
MacArthur Bates Communicative Development Inventory (CDI),clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,MacArthur Bates Communicative Development Inventory (CDI),questionnaire,caregiver,No,800.0,Parents completed the MacArthur Bates Communicative Development Inventory (CDI) long form measures early language abilities...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: MacArthur Bates Communicative Development Inventory (CDI)"
NIH consensus criteria,clinical_assessment_tools,PMID:34049498,10.1186/s11689-021-09364-3,Early differences in auditory processing relate to Autism Spectrum Disorder traits in infants with Neurofibromatosis Type I.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,NIH consensus criteria,structured interview,all ages,Yes,,All participants had their diagnosis confirmed via molecular testing of cord blood samples or clinical diagnosis based on NIH consensus criteria,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: NIH consensus criteria"
"International Classification of Diseases, 10th Revision (ICD-10)",clinical_assessment_tools,PMID:36565307,10.1016/j.gim.2022.10.007,"COVID-19 in people with neurofibromatosis 1, neurofibromatosis 2, or schwannomatosis.",,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,"International Classification of Diseases, 10th Revision (ICD-10)",scale,all ages,No,,"a strong positive COVID-19 diagnostic code from the International Classification of Diseases, 10th Revision (ICD-10)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: International Classification of Diseases, 10th Revision (ICD-10)"
Systematized Nomenclature of Medicine (SNOMED),clinical_assessment_tools,PMID:36565307,10.1016/j.gim.2022.10.007,"COVID-19 in people with neurofibromatosis 1, neurofibromatosis 2, or schwannomatosis.",,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Systematized Nomenclature of Medicine (SNOMED),scale,all ages,No,,"diagnostic code from the International Classification of Diseases, 10th Revision (ICD-10) or Systematized Nomenclature of Medicine (SNOMED) tables","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Systematized Nomenclature of Medicine (SNOMED)"
Logical Observation Identifiers Names and Codes (LOINC),clinical_assessment_tools,PMID:36565307,10.1016/j.gim.2022.10.007,"COVID-19 in people with neurofibromatosis 1, neurofibromatosis 2, or schwannomatosis.",,0.85,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Logical Observation Identifiers Names and Codes (LOINC),scale,all ages,No,,"NF1-relevant diagnosis codes from SNOMED, ICD-9/10, Logical Observation Identifiers Names and Codes (LOINC), and Nebraska Lexicon","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Logical Observation Identifiers Names and Codes (LOINC)"
Nebraska Lexicon,clinical_assessment_tools,PMID:36565307,10.1016/j.gim.2022.10.007,"COVID-19 in people with neurofibromatosis 1, neurofibromatosis 2, or schwannomatosis.",,0.8,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Nebraska Lexicon,scale,all ages,No,,"NF1-relevant diagnosis codes from SNOMED, ICD-9/10, Logical Observation Identifiers Names and Codes (LOINC), and Nebraska Lexicon","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Nebraska Lexicon"
NFTI-QOL,clinical_assessment_tools,PMID:24619350,10.1007/s00415-014-7303-1,Longitudinal evaluation of quality of life in 288 patients with neurofibromatosis 2.,,0.95,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,NFTI-QOL,questionnaire,adult,Yes,8.0,The disease-focused NF2 impact on quality of life (NFTI-QOL) patient questionnaire was assessed as an outcome measure for treatment in a multi-centre study.,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: NFTI-QOL"
"mouse cytokine array (panel A, R&D system)",clinical_assessment_tools,PMID:28256556,10.1038/srep43315,An inflammatory gene signature distinguishes neurofibroma Schwann cells and macrophages from cells in the normal peripheral nervous system.,,0.8,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,"mouse cytokine array (panel A, R&D system)",biomarker assay,all ages,No,,"Mouse cytokine protein expressions were quantified using mouse cytokine array (panel A, R&D system, Minneapolis, MN)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: mouse cytokine array (panel A, R&D system)"
NIH Consensus Conference criteria,clinical_assessment_tools,PMID:37174087,10.3390/cancers15092621,Vinblastine/Methotrexate for Debilitating and Progressive Plexiform Neurofibroma in Children and Young Adults with Neurofibromatosis Type 1: A Phase 2 Study.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,NIH Consensus Conference criteria,scale,all ages,Yes,,"...ages ≤ 25 years with a diagnosis of NF1, as defined by the NIH Consensus Conference criteria [19]...","Assessment name not in title and 'tool' not in title — likely generic usage, not development: NIH Consensus Conference criteria"
Lansky performance status,clinical_assessment_tools,PMID:37174087,10.3390/cancers15092621,Vinblastine/Methotrexate for Debilitating and Progressive Plexiform Neurofibroma in Children and Young Adults with Neurofibromatosis Type 1: A Phase 2 Study.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansky performance status,scale,pediatric,No,,...Exclusion criteria included Lansky or Karnofsky performance statuses of less than 60...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Lansky performance status"
Karnofsky performance status,clinical_assessment_tools,PMID:37174087,10.3390/cancers15092621,Vinblastine/Methotrexate for Debilitating and Progressive Plexiform Neurofibroma in Children and Young Adults with Neurofibromatosis Type 1: A Phase 2 Study.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Karnofsky performance status,scale,adult,No,,...Exclusion criteria included Lansky or Karnofsky performance statuses of less than 60...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Karnofsky performance status"
National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0,clinical_assessment_tools,PMID:37174087,10.3390/cancers15092621,Vinblastine/Methotrexate for Debilitating and Progressive Plexiform Neurofibroma in Children and Young Adults with Neurofibromatosis Type 1: A Phase 2 Study.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0,scale,all ages,No,,...Adverse events (AE) were graded according to the National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: National Cancer Institute Common Terminology Criteria for Adverse Events version 4.0"
Response Evaluation in Neurofibromatosis and Schwannomatosis (REiNS),clinical_assessment_tools,PMID:37174087,10.3390/cancers15092621,Vinblastine/Methotrexate for Debilitating and Progressive Plexiform Neurofibroma in Children and Young Adults with Neurofibromatosis Type 1: A Phase 2 Study.,,0.95,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Response Evaluation in Neurofibromatosis and Schwannomatosis (REiNS),scale,all ages,Yes,,...Analysis of functional responses for the cohort of participants with airway involvement were guided by the Response Evaluation in Neurofibromatosis and Schwannomatosis (REiNS) sleep and pulmonary outcomes recommendations...,"Assessment name not in title and 'tool' not in title — likely generic usage, not development: Response Evaluation in Neurofibromatosis and Schwannomatosis (REiNS)"
Perceived Stress Scale (PSS),clinical_assessment_tools,PMID:31053133,10.1186/s13023-019-1067-8,Burden of adult neurofibromatosis 1: development and validation of a burden assessment tool.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Perceived Stress Scale (PSS),scale,adult,No,10.0,The PSS is the most widely used psychological instrument for measuring the perception of stress. Composed of 10 items rated from never to often,Generic psychological scale (not NF-specific)
Autism Diagnostic Interview Revised (ADI-R),clinical_assessment_tools,PMID:33519543,10.3389/fpsyt.2020.585700,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Autism Diagnostic Interview Revised (ADI-R),structured interview,pediatric,No,87.0,meeting ASD cut-off on the Autism Diagnostic Interview Revised (ADI-R)...Autism Diagnostic Interview-Revised (ADI-R) was used for detailed parent interviews,Publication title lacks NF-specific terms: Autism Spectrum Disorder Symptom Profile Across the RASopathies.
Autism Diagnostic Observation Schedule-2 (ADOS-2),clinical_assessment_tools,PMID:33519543,10.3389/fpsyt.2020.585700,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,,0.95,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Autism Diagnostic Observation Schedule-2 (ADOS-2),structured interview,pediatric,No,4.0,scoring above the ASD cut-off on the Autism Diagnostic Observation Schedule-2 (ADOS-2)...The Autism Diagnostic Observation Schedule–second edition (ADOS-2) was used to measure current autism clinical profile,Publication title lacks NF-specific terms: Autism Spectrum Disorder Symptom Profile Across the RASopathies.
Wechsler Abbreviated Scale of Intelligence-II (WASI-II),clinical_assessment_tools,PMID:33519543,10.3389/fpsyt.2020.585700,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Wechsler Abbreviated Scale of Intelligence-II (WASI-II),performance test,pediatric,No,,"The Wechsler Abbreviated Scale of Intelligence-II (WASI-II) was used to measure verbal intellectual functioning (VIQ), based on two subscales called Similarities and Vocabulary",Publication title lacks NF-specific terms: Autism Spectrum Disorder Symptom Profile Across the RASopathies.
"Conners Parent Rating Scale (3rd edition, short form)",clinical_assessment_tools,PMID:33519543,10.3389/fpsyt.2020.585700,Autism Spectrum Disorder Symptom Profile Across the RASopathies.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,"Conners Parent Rating Scale (3rd edition, short form)",scale,caregiver,No,,"Conners Parent Rating Scale (3rd edition, short form) measured ADHD symptomatology. The two domains, inattention and hyperactivity, were used in the study and presented in T-score",Publication title lacks NF-specific terms: Autism Spectrum Disorder Symptom Profile Across the RASopathies.
Magnetom Avanto,clinical_assessment_tools,PMID:33082502,10.1038/s41598-020-74920-1,Image segmentation of plexiform neurofibromas from a deep neural network using multiple b-value diffusion data.,,0.85,Experimental Usage,True,1.00,High,,,,,,,,,,,,,,,,,,,,,,,,,,,Magnetom Avanto,biomarker assay,all ages,Yes,,"All MRI sequences were performed on a 1.5 T scanner (Magnetom Avanto, Siemens Healthineers, Erlangen, Germany)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Magnetom Avanto"
Wechsler Abbreviated Scale of Intelligence (WASI),clinical_assessment_tools,PMID:28725547,10.1016/j.nicl.2017.06.032,Spatial working memory in neurofibromatosis 1: Altered neural activity and functional connectivity.,,0.9,Experimental Usage,False,1.00,Medium,,,,,,,,,,,,,,,,,,,,,,,,,,,Wechsler Abbreviated Scale of Intelligence (WASI),scale,adult,No,,"Full-Scale IQ ≥ 70 (as determined by the Wechsler Abbreviated Scale of Intelligence [WASI]; Wechsler, 2011)","Assessment name not in title and 'tool' not in title — likely generic usage, not development: Wechsler Abbreviated Scale of Intelligence (WASI)"
